,fighter_name,fight#,outcome,opponent_name,event,date
0,Brian Ortega,9,win,Chan Sung Jung,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
1,Brian Ortega,8,loss,Max Holloway,UFC 231: Holloway vs. Ortega,"Dec. 08, 2018"
2,Brian Ortega,7,win,Frankie Edgar,UFC 222: Cyborg vs. Kunitskaya,"Mar. 03, 2018"
3,Brian Ortega,6,win,Cub Swanson,UFC Fight Night: Swanson vs. Ortega,"Dec. 09, 2017"
4,Brian Ortega,5,win,Renato Moicano,UFC 214: Cormier vs. Jones 2,"Jul. 29, 2017"
5,Brian Ortega,4,win,Clay Guida,UFC 199: Rockhold vs. Bisping 2,"Jun. 04, 2016"
6,Brian Ortega,3,win,Diego Brandao,UFC 195: Lawler vs Condit,"Jan. 02, 2016"
7,Brian Ortega,2,win,Thiago Tavares,UFC Fight Night: Boetsch vs Henderson,"Jun. 06, 2015"
8,Brian Ortega,1,nc,Mike de la Torre,UFC on FOX: Lawler vs Brown,"Jul. 26, 2014"
9,Chan Sung Jung,11,loss,Brian Ortega,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
10,Chan Sung Jung,10,win,Frankie Edgar,UFC Fight Night: Edgar vs. The Korean Zombie,"Dec. 21, 2019"
11,Chan Sung Jung,9,win,Renato Moicano,UFC Fight Night: Moicano vs. The Korean Zombie,"Jun. 22, 2019"
12,Chan Sung Jung,8,loss,Yair Rodriguez,UFC Fight Night: Korean Zombie vs. Rodriguez,"Nov. 10, 2018"
13,Chan Sung Jung,7,win,Dennis Bermudez,UFC Fight Night: Bermudez vs. The Korean Zombie,"Feb. 04, 2017"
14,Chan Sung Jung,6,loss,Jose Aldo,UFC 163: Aldo vs Jung,"Aug. 03, 2013"
15,Chan Sung Jung,5,win,Dustin Poirier,UFC on FUEL TV: Korean Zombie vs Poirier,"May. 15, 2012"
16,Chan Sung Jung,4,win,Mark Hominick,UFC 140: Jones vs Machida,"Dec. 10, 2011"
17,Chan Sung Jung,3,win,Leonard Garcia,UFC Fight Night: Nogueira vs Davis,"Mar. 26, 2011"
18,Chan Sung Jung,2,loss,George Roop,WEC 51: Aldo vs. Gamburyan,"Sep. 30, 2010"
19,Chan Sung Jung,1,loss,Leonard Garcia,WEC 48: Aldo vs. Faber,"Apr. 24, 2010"
20,Ciryl Gane,3,win,Tanner Boser,UFC Fight Night: Edgar vs. The Korean Zombie,"Dec. 21, 2019"
21,Ciryl Gane,2,win,Don'Tale Mayes,UFC Fight Night: Maia vs. Askren,"Oct. 26, 2019"
22,Ciryl Gane,1,win,Raphael Pessoa,UFC Fight Night: Shevchenko vs. Carmouche 2,"Aug. 10, 2019"
23,Katlyn Chookagian,11,loss,Jessica Andrade,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
24,Katlyn Chookagian,10,win,Antonina Shevchenko,UFC Fight Night: Woodley vs. Burns,"May. 30, 2020"
25,Katlyn Chookagian,9,loss,Valentina Shevchenko,UFC 247: Jones vs. Reyes,"Feb. 08, 2020"
26,Katlyn Chookagian,8,win,Jennifer Maia,UFC 244: Masvidal vs. Diaz,"Nov. 02, 2019"
27,Katlyn Chookagian,7,win,Joanne Calderwood,UFC 238: Cejudo vs. Moraes,"Jun. 08, 2019"
28,Katlyn Chookagian,6,loss,Jessica Eye,UFC 231: Holloway vs. Ortega,"Dec. 08, 2018"
29,Katlyn Chookagian,5,win,Alexis Davis,UFC Fight Night: Alvarez vs. Poirier 2,"Jul. 28, 2018"
30,Katlyn Chookagian,4,win,Mara Romero Borella,UFC Fight Night: Jacare vs. Brunson 2,"Jan. 27, 2018"
31,Katlyn Chookagian,3,win,Irene Aldana,UFC 210: Cormier vs. Johnson 2,"Apr. 08, 2017"
32,Katlyn Chookagian,2,loss,Liz Carmouche,UFC 205: Alvarez vs McGregor,"Nov. 12, 2016"
33,Katlyn Chookagian,1,win,Lauren Murphy,UFC Fight Night: McDonald vs. Lineker,"Jul. 13, 2016"
34,Jessica Andrade,18,win,Katlyn Chookagian,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
35,Jessica Andrade,17,loss,Rose Namajunas,UFC 251: Usman vs. Masvidal,"Jul. 11, 2020"
36,Jessica Andrade,16,loss,Zhang Weili,UFC Fight Night: Andrade vs. Zhang,"Aug. 31, 2019"
37,Jessica Andrade,15,win,Rose Namajunas,UFC 237: Namajunas vs. Andrade,"May. 11, 2019"
38,Jessica Andrade,14,win,Karolina Kowalkiewicz,UFC 228: Woodley vs. Till,"Sep. 08, 2018"
39,Jessica Andrade,13,win,Tecia Torres,UFC Fight Night: Emmett vs. Stephens,"Feb. 24, 2018"
40,Jessica Andrade,12,win,Claudia Gadelha,UFC Fight Night: Saint Preux vs. Okami,"Sep. 22, 2017"
41,Jessica Andrade,11,loss,Joanna Jedrzejczyk,UFC 211: Miocic vs. Dos Santos,"May. 13, 2017"
42,Jessica Andrade,10,win,Angela Hill,UFC Fight Night: Bermudez vs. The Korean Zombie,"Feb. 04, 2017"
43,Jessica Andrade,9,win,Joanne Calderwood,UFC 203: Miocic vs. Overeem,"Sep. 10, 2016"
44,Jessica Andrade,8,win,Jessica Penne,UFC 199: Rockhold vs. Bisping 2,"Jun. 04, 2016"
45,Jessica Andrade,7,loss,Raquel Pennington,UFC 191: Johnson vs Dodson 2,"Sep. 05, 2015"
46,Jessica Andrade,6,win,Sarah Moras,UFC Fight Night: Mir vs Duffee,"Jul. 15, 2015"
47,Jessica Andrade,5,loss,Marion Reneau,UFC Fight Night: Bigfoot vs Mir,"Feb. 22, 2015"
48,Jessica Andrade,4,win,Larissa Pacheco,UFC Fight Night: Bigfoot vs Arlovski,"Sep. 13, 2014"
49,Jessica Andrade,3,win,Raquel Pennington,UFC 171: Hendricks vs Lawler,"Mar. 15, 2014"
50,Jessica Andrade,2,win,Rosi Sexton,UFC Fight Night: Machida vs Munoz,"Oct. 26, 2013"
51,Jessica Andrade,1,loss,Liz Carmouche,UFC on FOX: Johnson vs Moraga,"Jul. 27, 2013"
52,Jimmy Crute,6,win,Modestas Bukauskas,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
53,Jimmy Crute,5,win,Michal Oleksiejczuk,UFC Fight Night: Felder vs. Hooker,"Feb. 22, 2020"
54,Jimmy Crute,4,loss,Misha Cirkunov,UFC Fight Night: Cowboy vs. Gaethje,"Sep. 14, 2019"
55,Jimmy Crute,3,win,Sam Alvey,UFC 234: Adesanya vs. Silva,"Feb. 09, 2019"
56,Jimmy Crute,2,win,Paul Craig,UFC Fight Night: Dos Santos vs. Tuivasa,"Dec. 01, 2018"
57,Jimmy Crute,1,win,Chris Birchler,DWCS 2.6,"Jul. 24, 2018"
58,Modestas Bukauskas,2,loss,Jimmy Crute,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
59,Modestas Bukauskas,1,win,Andreas Michailidis,UFC Fight Night: Kattar vs. Ige,"Jul. 15, 2020"
60,Thomas Almeida,9,loss,Jonathan Martinez,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
61,Thomas Almeida,8,loss,Rob Font,UFC 220: Miocic vs. Ngannou,"Jan. 20, 2018"
62,Thomas Almeida,7,loss,Jimmie Rivera,UFC Fight Night: Weidman vs. Gastelum,"Jul. 22, 2017"
63,Thomas Almeida,6,win,Albert Morales,UFC Fight Night: Bader vs. Nogueira,"Nov. 19, 2016"
64,Thomas Almeida,5,loss,Cody Garbrandt,UFC Fight Night: Almeida vs Garbrandt,"May. 29, 2016"
65,Thomas Almeida,4,win,Anthony Birchak,UFC Fight Night: Belfort vs Henderson 3,"Nov. 07, 2015"
66,Thomas Almeida,3,win,Brad Pickett,UFC 189: Mendes vs McGregor,"Jul. 11, 2015"
67,Thomas Almeida,2,win,Yves Jabouin,UFC 186: Johnson vs Horiguchi,"Apr. 25, 2015"
68,Thomas Almeida,1,win,Tim Gorman,UFC Fight Night 56: Shogun vs Saint Preux,"Nov. 08, 2014"
69,Jonathan Martinez,6,win,Thomas Almeida,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
70,Jonathan Martinez,5,win,Frankie Saenz,UFC Fight Night: Brunson vs. Shahbazyan,"Aug. 01, 2020"
71,Jonathan Martinez,4,loss,Andre Ewell,UFC 247: Jones vs. Reyes,"Feb. 08, 2020"
72,Jonathan Martinez,3,win,Pingyuan Liu,UFC Fight Night: De Randamie vs. Ladd,"Jul. 13, 2019"
73,Jonathan Martinez,2,win,Wuliji Buren,UFC 234: Adesanya vs. Silva,"Feb. 09, 2019"
74,Jonathan Martinez,1,loss,Andre Soukhamthath,UFC Fight Night: Oezdemir vs. Smith,"Oct. 27, 2018"
75,Mateusz Gamrot,1,loss,Guram Kutateladze,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
76,Guram Kutateladze,1,win,Mateusz Gamrot,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
77,Gillian Robertson,8,win,Poliana Botelho,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
78,Gillian Robertson,7,win,Cortney Casey,UFC Fight Night: Blaydes vs. Volkov,"Jun. 20, 2020"
79,Gillian Robertson,6,loss,Maycee Barber,UFC Fight Night: Reyes vs. Weidman,"Oct. 18, 2019"
80,Gillian Robertson,5,win,Sarah Frota,UFC 240: Holloway vs. Edgar,"Jul. 27, 2019"
81,Gillian Robertson,4,win,Veronica Macedo,UFC Fight Night: Blachowicz vs. Santos,"Feb. 23, 2019"
82,Gillian Robertson,3,loss,Mayra Bueno Silva,UFC Fight Night: Marreta vs. Anders,"Sep. 22, 2018"
83,Gillian Robertson,2,win,Molly McCann,UFC Fight Night: Thompson vs. Till,"May. 27, 2018"
84,Gillian Robertson,1,win,Emily Whitmire,The Ultimate Fighter: A New World Champion Finale,"Dec. 01, 2017"
85,Poliana Botelho,5,loss,Gillian Robertson,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
86,Poliana Botelho,4,win,Lauren Mueller,UFC 236: Holloway vs. Poirier 2,"Apr. 13, 2019"
87,Poliana Botelho,3,loss,Cynthia Calvillo,UFC Fight Night: Magny vs. Ponzinibbio,"Nov. 17, 2018"
88,Poliana Botelho,2,win,Syuri Kondo,UFC Fight Night: Maia vs. Usman,"May. 19, 2018"
89,Poliana Botelho,1,win,Pearl Gonzalez,UFC 216: Ferguson vs. Lee,"Oct. 07, 2017"
90,Claudio Silva,6,loss,James Krause,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
91,Claudio Silva,5,win,Cole Williams,UFC Fight Night: Covington vs. Lawler,"Aug. 03, 2019"
92,Claudio Silva,4,win,Danny Roberts,UFC Fight Night: Till vs. Masvidal,"Mar. 16, 2019"
